experiment_family,candidate_name,modification_target,strategy,canonical_parameters,candidate_parameters,parameters_saved,savings_percent_of_target,projected_model_parameters,projected_model_reduction,projected_model_reduction_percent,notes
PB1-A,PB1-A-memory-input-width-896,layers.m_proj_w,Reduce memory input projection output width from 1024 to 896,6291456,5505024,786432,12.5,46651336,786432,1.657818302075258,"Accounting-only scenario. Canonical shape [12, 512, 1024] becomes [12, 512, 896]. Implementation may require coordinated downstream architecture changes."
PB1-A,PB1-A-factorized-512x512-rank-64__PB1-A-memory-input-width-256,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64; Reduce memory input projection output width from 1024 to 256,22020096,5505024,16515072,75.0,30922696,16515072,34.814184343580415,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-64__PB1-A-memory-input-width-384,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64; Reduce memory input projection output width from 1024 to 384,22020096,6291456,15728640,71.42857142857143,31709128,15728640,33.15636604150516,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-64__PB1-A-memory-input-width-512,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64; Reduce memory input projection output width from 1024 to 512,22020096,7077888,14942208,67.85714285714286,32495560,14942208,31.4985477394299,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-64__PB1-A-memory-input-width-640,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64; Reduce memory input projection output width from 1024 to 640,22020096,7864320,14155776,64.28571428571429,33281992,14155776,29.840729437354643,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-64__PB1-A-memory-input-width-768,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64; Reduce memory input projection output width from 1024 to 768,22020096,8650752,13369344,60.714285714285715,34068424,13369344,28.182911135279383,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-64__PB1-A-memory-input-width-896,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 64; Reduce memory input projection output width from 1024 to 896,22020096,9437184,12582912,57.142857142857146,34854856,12582912,26.525092833204127,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96__PB1-A-memory-input-width-256,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96; Reduce memory input projection output width from 1024 to 256,22020096,7471104,14548992,66.07142857142857,32888776,14548992,30.66963858839227,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96__PB1-A-memory-input-width-384,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96; Reduce memory input projection output width from 1024 to 384,22020096,8257536,13762560,62.5,33675208,13762560,29.01182028631701,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96__PB1-A-memory-input-width-512,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96; Reduce memory input projection output width from 1024 to 512,22020096,9043968,12976128,58.92857142857143,34461640,12976128,27.354001984241755,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96__PB1-A-memory-input-width-640,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96; Reduce memory input projection output width from 1024 to 640,22020096,9830400,12189696,55.357142857142854,35248072,12189696,25.696183682166495,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96__PB1-A-memory-input-width-768,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96; Reduce memory input projection output width from 1024 to 768,22020096,10616832,11403264,51.785714285714285,36034504,11403264,24.03836538009124,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-96__PB1-A-memory-input-width-896,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 96; Reduce memory input projection output width from 1024 to 896,22020096,11403264,10616832,48.214285714285715,36820936,10616832,22.38054707801598,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128__PB1-A-memory-input-width-256,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128; Reduce memory input projection output width from 1024 to 256,22020096,9437184,12582912,57.142857142857146,34854856,12582912,26.525092833204127,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128__PB1-A-memory-input-width-384,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128; Reduce memory input projection output width from 1024 to 384,22020096,10223616,11796480,53.57142857142857,35641288,11796480,24.867274531128867,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128__PB1-A-memory-input-width-512,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128; Reduce memory input projection output width from 1024 to 512,22020096,11010048,11010048,50.0,36427720,11010048,23.20945622905361,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128__PB1-A-memory-input-width-640,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128; Reduce memory input projection output width from 1024 to 640,22020096,11796480,10223616,46.42857142857143,37214152,10223616,21.55163792697835,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128__PB1-A-memory-input-width-768,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128; Reduce memory input projection output width from 1024 to 768,22020096,12582912,9437184,42.857142857142854,38000584,9437184,19.893819624903095,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-128__PB1-A-memory-input-width-896,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 128; Reduce memory input projection output width from 1024 to 896,22020096,13369344,8650752,39.285714285714285,38787016,8650752,18.236001322827835,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160__PB1-A-memory-input-width-256,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160; Reduce memory input projection output width from 1024 to 256,22020096,11403264,10616832,48.214285714285715,36820936,10616832,22.38054707801598,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160__PB1-A-memory-input-width-384,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160; Reduce memory input projection output width from 1024 to 384,22020096,12189696,9830400,44.642857142857146,37607368,9830400,20.722728775940723,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160__PB1-A-memory-input-width-512,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160; Reduce memory input projection output width from 1024 to 512,22020096,12976128,9043968,41.07142857142857,38393800,9043968,19.064910473865464,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160__PB1-A-memory-input-width-640,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160; Reduce memory input projection output width from 1024 to 640,22020096,13762560,8257536,37.5,39180232,8257536,17.407092171790207,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160__PB1-A-memory-input-width-768,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160; Reduce memory input projection output width from 1024 to 768,22020096,14548992,7471104,33.92857142857143,39966664,7471104,15.74927386971495,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-160__PB1-A-memory-input-width-896,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 160; Reduce memory input projection output width from 1024 to 896,22020096,15335424,6684672,30.357142857142858,40753096,6684672,14.091455567639692,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192__PB1-A-memory-input-width-256,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192; Reduce memory input projection output width from 1024 to 256,22020096,13369344,8650752,39.285714285714285,38787016,8650752,18.236001322827835,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192__PB1-A-memory-input-width-384,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192; Reduce memory input projection output width from 1024 to 384,22020096,14155776,7864320,35.714285714285715,39573448,7864320,16.57818302075258,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192__PB1-A-memory-input-width-512,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192; Reduce memory input projection output width from 1024 to 512,22020096,14942208,7077888,32.142857142857146,40359880,7077888,14.920364718677321,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192__PB1-A-memory-input-width-640,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192; Reduce memory input projection output width from 1024 to 640,22020096,15728640,6291456,28.571428571428573,41146312,6291456,13.262546416602063,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192__PB1-A-memory-input-width-768,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192; Reduce memory input projection output width from 1024 to 768,22020096,16515072,5505024,25.0,41932744,5505024,11.604728114526806,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
PB1-A,PB1-A-factorized-512x512-rank-192__PB1-A-memory-input-width-896,"layers.m_wk, layers.m_wq, layers.m_wv, layers.m_w_read, layers.m_w_out; layers.m_proj_w",Replace each dense 512x512 projection with a two-factor low-rank decomposition of rank 192; Reduce memory input projection output width from 1024 to 896,22020096,17301504,4718592,21.428571428571427,42719176,4718592,9.946909812451548,Combined accounting scenario covering two disjoint parameter groups. No implementation or training result is implied.
